18/09 08:32:45:082 Command Routing started
18/09 08:32:45:105 Starting process session
18/09 08:32:47:038 Total 0 instances are started
18/09 08:32:47:039 Total 1 instances are added
18/09 08:33:13:888 com.sun.messaging.jms.JMSException: [C4003]: Error occurred on connection creation [10.32.62.89:7676]. - cause: java.net.ConnectException: Connection timed out: connect
18/09 08:33:13:889 Consumer was closed, reconnect.
18/09 08:33:13:993 Total 0 instances are started
18/09 08:33:13:994 Total 1 instances are added
18/09 08:34:26:996 Command Routing started
18/09 08:34:27:023 Starting process session
18/09 08:34:27:146 Total 0 instances are started
18/09 08:34:27:148 Total 1 instances are added
18/09 08:34:32:099 Close queue connection pool.
18/09 08:34:32:117 End of process session
18/09 08:34:32:180 Command Routing stopped
18/09 08:34:34:019 Command Routing started
18/09 08:34:34:043 Starting process session
18/09 08:34:34:159 Total 0 instances are started
18/09 08:34:34:160 Total 1 instances are added
18/09 08:35:10:254 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:255 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:256 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:257 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:258 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:259 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:261 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:263 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:264 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:266 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:267 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:268 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:269 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:270 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:272 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:273 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:275 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:277 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:278 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:280 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:281 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:282 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:283 84922000514: SMSC - SMSC.SEND_SMS
18/09 08:35:10:284 84922000514: SMSC - SMSC.SEND_SMS
